Alfred;Amsterdam;alam@domain.ext
Benjamin;Baltimore;beba@domain.ext
Charles;Casablanca;chca@domain.ext
David;Danemark;dada@domain.ext
Edward;Edison;eded@domain.ext
Frederick;Florida;fefl@domain.ext
George;Gallipoli;gega@domain.ext
Harry;Havanna;haha@domain.ext
Issac;Italia;isit@domain.ext
Jack;Jerusalem;jaje@domain.ext
King;Kilogram;kiki@domain.ext
London;Liverpool;@domain.ext
Mary;Madagascar;mama@domain.ext
Nelie;NewYork;nene@domain.ext
Oliver;Oslo;olos@domain.ext
Peter;Paris;pepa@domain.ext
Queen;Quebec;ququ@domain.ext
Robert;Roma;roro@domain.ext
Samuel;Santiago;sasa@domain.ext
Tommy;Tripoli;totr@domain.ext
Uncle;Uppsala;unus@domain.ext
Victor;Valence;viva@domain.ext
William;Washington;wiwa@domain.ext
Xray;Xanthippe;xrxa@domain.ext
Yellow;Yokohama;yeyo@domain.ext
Zebra;Zurich;zezu@domain.ext
